code,name,kind,uom,level,declared,behaviour,made_share,required,flag
RM0000003,MUSTARD LOOSE OIL,MUSTARD,LTR,1,BUY,MAKE,0.98,1245959.23,DECLARED_VS_BEHAVIOUR
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAPS,PCS,1,BUY,BUY,0.00,938331.0,
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,CAPS,PCS,1,BUY,BUY,0.00,735000.0,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PET BOTTLES,PCS,1,MAKE,MAKE,0.95,723500.0,
PM0000852,PREFORM 49.5 GMS 36 MM,PREFORM,PCS,2,BUY,BUY,0.00,723500.0,
RM0000001,LOOSE REFINED OLIVE OIL,OLIVE,LTR,1,BUY,MAKE,1.00,675486.54,DECLARED_VS_BEHAVIOUR
RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,CANOLA,LTR,3,BUY,BUY,0.00,635797.81,
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,CANOLA,LTR,2,MAKE,MAKE,1.00,593671.65,
RM0000025,SOYABEAN REFINED LOOSE OIL,SOYABEAN,LTR,2,BUY,MAKE,0.66,538185.17,DECLARED_VS_BEHAVIOUR
RM0000011,GROUNDNUT LOOSE OIL,GROUNDNUT,LTR,2,BUY,MAKE,1.00,526220.56,DECLARED_VS_BEHAVIOUR
PM0000851,PET BOTTLE 1 LTR 26 GM,PET BOTTLES,PCS,1,BUY,BUY,0.00,475831.0,
PM0000194,PET BOTTLE 1 LTR 40 GMS,PET BOTTLES,PCS,1,MAKE,MAKE,0.74,471000.0,
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,PCS,2,BUY,BUY,0.00,471000.0,
RM0000009,REFINED SUNFLOWER OIL,SUNFLOWER,LTR,1,BUY,MAKE,1.00,420000.0,DECLARED_VS_BEHAVIOUR
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAPS,PCS,1,BUY,BUY,0.00,416000.0,
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,LABEL,PCS,1,BUY,BUY,0.00,380000.0,
PM0000426,LABEL 1 LTR GROUNDNUT BACK,LABEL,PCS,1,BUY,BUY,0.00,380000.0,
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET BOTTLES,PCS,1,MAKE,MAKE,1.00,370000.0,
PM0000817,PREFORM 21/23 GMS,PREFORM,PCS,2,BUY,,,370000.0,
PM0000824,LABEL 1 LTR KACHI GHANI FULL,LABEL,PCS,1,BUY,BUY,0.00,370000.0,
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,LABEL,PCS,1,BUY,BUY,0.00,270000.0,
PM0000231,LABEL 1 LTR SUNFLOWER BACK,LABEL,PCS,1,BUY,BUY,0.00,270000.0,
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,PCS,1,BUY,BUY,0.00,220000.0,
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,PCS,1,BUY,BUY,0.00,220000.0,
PM0000075,TAPE LOGO PRINTED,TAPE,MTR,1,BUY,BUY,0.00,215085.1,
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,LABEL,PCS,1,BUY,BUY,0.00,195000.0,
PM0000107,LABEL 1 LTR POMACE BACK,LABEL,PCS,1,BUY,BUY,0.00,160500.0,
PM0000108,LABEL 1 LTR POMACE FRONT,LABEL,PCS,1,BUY,BUY,0.00,160500.0,
PM0000053,HDPE BOTTLE 5 LTR,HDPE BOTTLES,PCS,1,BUY,BUY,0.00,145400.0,
PM0000015,LABEL 1 LTR COLD PRESS FRONT,LABEL,PCS,1,BUY,BUY,0.00,135000.0,
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PET BOTTLES,PCS,1,BUY,BUY,0.00,132500.0,
PM0000729,CAPS INNER PET BOTTLE 250 MLS,CAPS,PCS,1,BUY,BUY,0.00,108000.0,
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,105000.0,
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,105000.0,
PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,PET JAR,PCS,1,BUY,BUY,0.00,104000.0,
PM0000056,PET BOTTLE 100 MLS BOTTLES,PET BOTTLES,PCS,1,BUY,BUY,0.00,100000.0,
PM0000218,LABEL 100 ML PET BOTTLE  EXTRA LIGHT FRONT,LABEL,PCS,1,BUY,BUY,0.00,100000.0,
PM0000219,LABEL 100 ML PET BOTTLE  EXTRA LIGHT BACK,LABEL,PCS,1,BUY,BUY,0.00,100000.0,
PM0000078,CAPS 5 LTR/15 LTR,CAPS,PCS,1,BUY,BUY,0.00,89733.0,
PM0000408,CAPS 1 & 2 LTR WHITE AND GREEN PLAIN,CAPS,PCS,1,BUY,BUY,0.00,86000.0,
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,LABEL,PCS,1,BUY,BUY,0.00,85000.0,
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,LABEL,PCS,1,BUY,BUY,0.00,85000.0,
PM0000517,PET BOTTLE 1 LTR 75 GMS,PET BOTTLES,PCS,1,BUY,,,75000.0,
PM0000469,CAPS 5 LTR BROWN,CAPS,PCS,1,BUY,BUY,0.00,74000.0,
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,LABEL,PCS,1,BUY,BUY,0.00,71000.0,
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,LABEL,PCS,1,BUY,BUY,0.00,71000.0,
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,SHRINK,PCS,1,BUY,BUY,0.00,68200.0,
RM0000007,RICE BRAN REFINED OIL,RICE BRAN,LTR,2,BUY,MAKE,0.98,65615.9,DECLARED_VS_BEHAVIOUR
RM0000021,LOOSE OIL GOLD,BLENDED,LTR,1,BLEND,MAKE,1.00,63000.0,DECLARED_VS_BEHAVIOUR
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,62831.0,
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,62831.0,
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,1,BUY,BUY,0.00,60000.0,
PM0000386,LABEL 1 LTR POMACE FRONT SANO,LABEL,PCS,1,BUY,BUY,0.00,60000.0,
PM0000385,LABEL 1 LTR POMACE BACK SANO,LABEL,PCS,1,BUY,BUY,0.00,60000.0,
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,CAPS,PCS,1,BUY,,,60000.0,
PM0000468,CAPS 5 LTR GREEN,CAPS,PCS,1,BUY,BUY,0.00,56867.0,
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,LABEL,PCS,1,BUY,BUY,0.00,48000.0,
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,LABEL,PCS,1,BUY,BUY,0.00,48000.0,
PM0000046,LABEL 5 LTR COLD PRESS FRONT,LABEL,PCS,1,BUY,BUY,0.00,45000.0,
PM0000535,LABEL 5 LTR COLD PRESS BACK 994,LABEL,PCS,1,BUY,BUY,0.00,45000.0,
PM0000003,CARTON 1 LTR POMACE 16 PCS,CARTON,PCS,1,BUY,BUY,0.00,42406.25,
PM0000567,CAPS 1 LTR WHITE AND ORANGE (SMALL) PLAIN,CAPS,PCS,1,BUY,,,40000.0,
PM0000023,LABEL 1 LTR PAKKI GHANI FRONT,LABEL,PCS,1,BUY,BUY,0.00,40000.0,
PM0000022,LABEL 1 LTR PAKKI GHANI BACK,LABEL,PCS,1,BUY,BUY,0.00,40000.0,
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,40000.0,
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,40000.0,
PM0000013,CARTON 5 LTR 4 PCS,CARTON,PCS,1,BUY,BUY,0.00,39350.0,
PM0000057,PET BOTTLE 2 LTR 66 GMS,PET BOTTLES,PCS,1,BUY,BUY,0.00,38000.0,
PM0000286,LABEL 1 LTR SOYABEAN FRONT,LABEL,PCS,1,BUY,,,35000.0,
PM0000287,LABEL 1 LTR SOYABEAN BACK,LABEL,PCS,1,BUY,BUY,0.00,35000.0,
PM0000397,LABEL 1 LTR GOLD FRONT,LABEL,PCS,1,BUY,,,33000.0,
PM0000396,LABEL 1 LTR GOLD BACK,LABEL,PCS,1,BUY,,,33000.0,
RM0000040,SO OLIVE OIL,BLENDED,LTR,1,BLEND,MAKE,1.00,32000.0,DECLARED_VS_BEHAVIOUR
PM0000080,TIN 5 LTR POMACE OLIVE PRINTED,TIN,PCS,1,BUY,BUY,0.00,31000.0,
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PET BOTTLES,PCS,1,BUY,BUY,0.00,29500.0,
PM0000076,TIN 15 LTR,TIN,PCS,1,BUY,BUY,0.00,29010.0,
PM0000629,CARTON TIN TOP,CARTON,PCS,1,BUY,BUY,0.00,26466.0,
PM0000470,CAPS 5 LTR ORANGE,CAPS,PCS,1,BUY,BUY,0.00,26000.0,
PM0000195,PET BOTTLE 1 LTR 52 GMS GREEN,PET BOTTLES,PCS,1,BUY,BUY,0.00,26000.0,
RM0000054,SEASAME OIL,SESAME,LTR,1,BUY,,,25000.0,
PM0000726,CAPS 1 & 2 LTR WHITE AND MINT-GREEN WITH LOGO SO,CAPS,PCS,1,BUY,,,25000.0,
PM0000690,LABEL 1 LTR PRESSED SESAME OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,25000.0,
PM0000691,LABEL 1 LTR PRESSED SESAME OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,25000.0,
PM0000900,LABEL 200 ML CP KACHI GHANI FRONT,LABEL,PCS,1,BUY,BUY,0.00,25000.0,
PM0000901,LABEL 200 ML CP KACHI GHANI BACK,LABEL,PCS,1,BUY,BUY,0.00,25000.0,
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,CARTON,PCS,1,BUY,BUY,0.00,23550.0,
RM0000015,LOOSE OIL COLD PRESS/REFINED,CANOLA,LTR,2,MAKE,MAKE,1.00,23068.88,
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,LABEL,PCS,1,BUY,BUY,0.00,23000.0,
PM0000232,LABEL 5 LTR SUNFLOWER BACK,LABEL,PCS,1,BUY,BUY,0.00,23000.0,
